match_id,edition_year,tournament_name,stage,group,date,time,stadium,city,host_country,home_team,home_code,away_team,away_code,home_score,away_score,extra_time,penalty_shootout,home_penalties,away_penalties
M-1930-01,1930,Copa Mundial FIFA 1930,Fase de grupos,Grupo 1,1930-07-13,15:00,Estadio Pocitos,Montevideo,Uruguay,France,FRA,Mexico,MEX,4,1,0,0,0,0
M-1930-02,1930,Copa Mundial FIFA 1930,Fase de grupos,Grupo 4,1930-07-13,15:00,Estadio Gran Parque Central,Montevideo,Uruguay,United States,USA,Belgium,BEL,3,0,0,0,0,0
M-1930-03,1930,Copa Mundial FIFA 1930,Fase de grupos,Grupo 2,1930-07-14,12:45,Estadio Gran Parque Central,Montevideo,Uruguay,Yugoslavia,YUG,Brazil,BRA,2,1,0,0,0,0
M-1930-04,1930,Copa Mundial FIFA 1930,Fase de grupos,Grupo 3,1930-07-14,14:50,Estadio Pocitos,Montevideo,Uruguay,Romania,ROU,Peru,PER,3,1,0,0,0,0
M-1930-05,1930,Copa Mundial FIFA 1930,Fase de grupos,Grupo 1,1930-07-15,16:00,Estadio Gran Parque Central,Montevideo,Uruguay,Argentina,ARG,France,FRA,1,0,0,0,0,0
M-1930-06,1930,Copa Mundial FIFA 1930,Fase de grupos,Grupo 1,1930-07-16,14:45,Estadio Gran Parque Central,Montevideo,Uruguay,Chile,CHL,Mexico,MEX,3,0,0,0,0,0
M-1930-07,1930,Copa Mundial FIFA 1930,Fase de grupos,Grupo 2,1930-07-17,12:45,Estadio Gran Parque Central,Montevideo,Uruguay,Yugoslavia,YUG,Bolivia,BOL,4,0,0,0,0,0
M-1930-08,1930,Copa Mundial FIFA 1930,Fase de grupos,Grupo 4,1930-07-17,14:45,Estadio Gran Parque Central,Montevideo,Uruguay,United States,USA,Paraguay,PRY,3,0,0,0,0,0
M-1930-09,1930,Copa Mundial FIFA 1930,Fase de grupos,Grupo 3,1930-07-18,14:30,Estadio Centenario,Montevideo,Uruguay,Uruguay,URY,Peru,PER,1,0,0,0,0,0
M-1930-10,1930,Copa Mundial FIFA 1930,Fase de grupos,Grupo 1,1930-07-19,12:50,Estadio Centenario,Montevideo,Uruguay,Chile,CHL,France,FRA,1,0,0,0,0,0
M-1930-11,1930,Copa Mundial FIFA 1930,Fase de grupos,Grupo 1,1930-07-19,15:00,Estadio Centenario,Montevideo,Uruguay,Argentina,ARG,Mexico,MEX,6,3,0,0,0,0
M-1930-12,1930,Copa Mundial FIFA 1930,Fase de grupos,Grupo 2,1930-07-20,13:00,Estadio Centenario,Montevideo,Uruguay,Brazil,BRA,Bolivia,BOL,4,0,0,0,0,0
